﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Feltmåling nr;Startdato;Dybde;Parameter;Resultat-attribut;Resultat;Enhed;Kvalitetsmærke
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;01-04-2008;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5aa42690-c9ae-4f41-9358-a86b76a283ee;FRB1324;32;699103;6204768;1;01-04-2008 08:20:00 +02:00;;Temperatur; =;8;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;01-09-1999;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9fd6e299-3f6a-40d8-bd02-ee2900898e84;FRB1324;32;699103;6204768;1;01-09-1999 08:45:00 +02:00;;Oxygen indhold; =;8,7;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;02-05-2018;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/699832e6-6369-496c-bd95-c33c56989947;FRB1324;32;699103;6204768;1;02-05-2018 09:10:00 +02:00;;pH; =;7,9;pH;2
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;26-10-1993;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e5c637a1-435e-4c46-a760-8e78f77bb3b5;FRB1324;32;699103;6204768;1;26-10-1993 09:55:00 +01:00;;Temperatur; =;6,1;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;12-03-1997;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/acbcdee3-3ab7-4e63-a129-fe9ffcf65951;FRB1324;32;699103;6204768;1;12-03-1997 08:55:00 +01:00;;Oxygen indhold; =;12,5;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;29-07-1998;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/56c8c277-9669-4ccf-8c82-c753f035157a;FRB1324;32;699103;6204768;1;29-07-1998 09:30:00 +02:00;;Temperatur; =;12,7;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;06-11-2002;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f471baa3-67cb-43b2-a138-198d6c6bac8f;FRB1324;32;699103;6204768;1;06-11-2002 09:55:00 +01:00;;Oxygen indhold; =;9,6;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;03-01-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/53e166a7-eda9-4c08-86f5-de0e091ea0aa;FRB1324;32;699103;6204768;1;03-01-2001 08:10:00 +01:00;;Temperatur; =;4,5;grader C;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;29-12-2004;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/5aca0041-2176-4b87-86f2-683ffdd76ea2;FRB1324;32;699103;6204768;1;29-12-2004 10:40:00 +01:00;;Oxygen indhold; =;9,9;mg/l;3
Station;49000061;ÆBELHOLT Å, SØSTERBRO MØLLE;32;699103;6204768;Hillerød;Region Hovedstaden;Vandløb;Poel Å;07-05-2002;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/885e65b6-6dcf-4bb2-9b5b-8aeb21400329;FRB1324;32;699103;6204768;1;07-05-2002 08:10:00 +02:00;;Oxygen indhold; =;11,2;mg/l;3
