﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;21-03-2002;2;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9c6cc634-78e7-437a-acba-855282aca25b;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;183;COD, Kemisk iltforbrug; =;39;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;29-10-1998;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/abab8840-1a9f-4b2e-aa63-b59d9ebe6b5e;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;38;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;18-09-1997;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/13f7d535-04a1-44a6-98c5-dda7db422987;FRB1332;32;703366;6209444;1;1;Enkeltprøve;1;Ej oplyst;;312;Jern; =;0,44;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;05-02-1998;2;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/2da5613a-28c0-4f88-b47f-c313df21a746;FRB1332;32;703366;6209444;1;1;Enkeltprøve;1;Ej oplyst;;312;Jern; =;0,75;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;13-01-2000;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/cbfb2f93-1d78-4e59-9dfa-6559439670f1;FRB1332;32;703366;6209444;1;1;Puljet prøve / tidsproportional;1;Opløst - filtrat fra filtrering;;261;Phosphor, total-P; =;0,105;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;06-05-1999;2;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/04a1d1de-98a3-4aa9-9646-793950ef87d4;FRB1332;32;703366;6209444;1;1;Enkeltprøve;1;Ej oplyst;;312;Jern; =;0,93;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;07-01-1999;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b5a15e32-a66c-49c9-ae60-d05cb0cb2168;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;261;Phosphor, total-P; =;0,128;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;23-08-2001;2;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/134da0ff-b533-4068-b596-4ad6ae13555f;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;253;Nitrogen,total N; =;2,29;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;17-06-1999;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/94e0e0a6-956d-492c-a765-1f377fb553bd;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Ej oplyst;;312;Jern; =;0,45;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;30-12-1999;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/91c82f24-adca-4c69-8298-c69fe926c498;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Ej oplyst;;312;Jern; =;0,97;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;27-04-2000;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/2afa7506-dbb7-448d-b860-fdeac4747a7d;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Ej oplyst;;312;Jern; =;0,8;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;03-05-2001;2;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/414e42cb-479f-4ce8-a6a8-1eb53a936c2d;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Ej oplyst;;312;Jern; =;1,93;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;29-07-1999;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ec7c9fa8-c699-4d1d-85da-45ae2bb5931a;FRB1332;32;703366;6209444;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;0,202;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;24-09-1998;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0971295c-3a50-460d-b7ce-360e36ecc3ca;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;261;Phosphor, total-P; =;0,312;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;04-12-1997;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ff38a1e9-30f2-4f3c-8f07-3cb18fb62ebb;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;38;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;11-01-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ba439a20-7c79-484f-b9cc-60f49c7042d8;FRB1332;32;703366;6209444;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;251;Nitrit+nitrat-N; =;3,4;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;16-10-1997;2;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/84ef5aae-a6bf-4f51-9710-f4c596f021ce;FRB1332;32;703366;6209444;1;1;Enkeltprøve;1;Opløst - filtrat fra filtrering;;312;Jern; =;0,25;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;18-04-2002;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4253e7a7-367e-4a36-8d3c-ea74e37b6c27;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;253;Nitrogen,total N; =;3,64;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;05-09-2002;2;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7752c9f4-b947-49da-b2f8-bd44e23a1872;FRB1332;32;703366;6209444;1;1;Enkeltprøve;1;Total;;435;BOD ufortyndet; =;2,9;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;03-05-2001;2;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/414e42cb-479f-4ce8-a6a8-1eb53a936c2d;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;261;Phosphor, total-P; =;0,398;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;26-07-2001;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4bf293c7-f9cf-4f30-8d9a-31ab21688cf6;FRB1332;32;703366;6209444;1;1;Enkeltprøve;1;Total;;435;BOD ufortyndet; =;2,6;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;23-10-1997;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/84bddeb6-96e0-4c86-8220-67b2574c5aa4;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Ej oplyst;;312;Jern; =;0,31;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;02-05-2002;2;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ab63f2e3-6bc6-46a8-9d34-ee149962fd66;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;261;Phosphor, total-P; =;0,65;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;05-03-1998;2;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0d28265b-b38c-4be0-8e22-28f5a0ab35c9;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;39;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;09-11-2000;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9f6a5808-5c51-4df1-9993-1eb9f7e2730b;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;53;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;06-03-2003;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/2b72a697-1be4-40fe-9d13-2248fc37abc2;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;261;Phosphor, total-P; =;0,272;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;24-06-1999;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0eace38e-946b-4ddc-8c6d-74bcfccb5c42;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;253;Nitrogen,total N; =;1,7;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;06-04-2000;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/51728077-5ca4-4ee2-aba3-b046bb7bab03;FRB1332;32;703366;6209444;1;1;Enkeltprøve;1;Ej oplyst;;174;BI5; =;3;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;15-10-1998;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/e5a8b10d-3e9f-434c-a709-64a102a2be4c;FRB1332;32;703366;6209444;1;1;Enkeltprøve;1;Ej oplyst;;174;BI5; =;3;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;30-12-1999;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/91c82f24-adca-4c69-8298-c69fe926c498;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Total;;261;Phosphor, total-P; =;0,275;mg/l;9999999;;2
Station;49000082;PØLE Å, ORNED PLANTAGE, TIBBERUP HOLME;NST6194, FRB6194, NST1332, 1332, FRB6162, FRB1332, 490073;32;703361;6209444;Hillerød;Region Hovedstaden;Vandløb;Poel Å;12-02-1998;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b8d477ce-6548-4482-88ba-a3e0c409d191;FRB6162;32;703353;6209460;1;1;Puljet prøve / tidsproportional;1;Ej oplyst;;183;COD, Kemisk iltforbrug; =;28;mg/l;9999999;;2
