﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Feltmåling nr;Startdato;Dybde;Parameter;Resultat-attribut;Resultat;Enhed;Kvalitetsmærke
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;14-11-1990;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/7d6497a7-04b8-494d-95ec-0a7413015be2;FRB1696;32;689172;6207567;1;14-11-1990 09:25:00 +01:00;;Temperatur; =;5,8;grader C;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;25-05-1994;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a689d3d4-8d11-43bf-b2ec-c69e833b6d80;FRB1696;32;689172;6207567;1;25-05-1994 09:17:00 +02:00;;Temperatur; =;12,6;grader C;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;03-07-2002;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/8960aa2e-7928-46f9-bbfd-dc7e4783b518;FRB1696;32;689172;6207567;1;03-07-2002 09:10:00 +02:00;;Oxygenmætning; =;112;pct;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;13-10-2009;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/510da20e-6b50-4b87-a796-2cd4bf4aec06;FRB1696;32;689172;6207567;1;13-10-2009 10:25:00 +02:00;;Temperatur; =;8,1;grader C;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;22-02-1989;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/11a0131c-9f11-4cb8-80e1-9f47b2f0fc73;FRB1696;32;689172;6207567;1;22-02-1989 09:30:00 +01:00;;Oxygen indhold; =;13,9;mg/l;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;04-09-1991;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/8fe85d03-8798-42ae-9a27-5acc95ef6412;FRB1696;32;689172;6207567;1;04-09-1991 09:23:00 +02:00;;Temperatur; =;16,5;grader C;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;16-08-2000;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/312e1ca6-fa5b-4e54-94b2-d73be35ac2a8;FRB1696;32;689172;6207567;1;16-08-2000 09:10:00 +02:00;;Temperatur; =;18,2;grader C;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;18-04-1990;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/41f5f7d7-a5dd-41b7-a481-179377b2d430;FRB1696;32;689172;6207567;1;18-04-1990 09:45:00 +02:00;;Oxygen indhold; =;15,3;mg/l;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;21-06-1995;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f6551a83-12b1-4db3-82ca-3b4631d74102;FRB1696;32;689172;6207567;1;21-06-1995 11:09:00 +02:00;;Oxygen indhold; =;11,4;mg/l;3
Station;49000054;ARRESØ KANAL, ARRESØDAL SLUSE;32;689172;6207567;Halsnæs;Region Hovedstaden;Vandløb;Poel Å;16-02-1994;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/a380df50-cf37-40a0-b86f-5aacddf9884a;FRB1696;32;689172;6207567;1;16-02-1994 10:02:00 +01:00;;Temperatur; =;0,8;grader C;3
