Vandportalen - www.vandportalen.dk
Lokalitet:;49.33 Arresø Kanal, I det gamle bådhus, 150 m ns Arresø
Tidsserie:;Vandstand
Drives af Halsnæs Kommune
Dataperiode:;01-01-1917 00:00 - 07-11-2024 00:59 ( UTC +01:00:00 )
Vandstandsskala nulpunkt kote:;3 m DVR90
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;29-10-2024 12:39

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandstand (m DVR90);ks mrk.
28-10-2024 19:39;3.838;0
28-10-2024 19:54;3.845;0
28-10-2024 20:09;3.845;0
28-10-2024 20:24;3.841;0
28-10-2024 20:39;3.841;0
28-10-2024 20:54;3.838;0
28-10-2024 21:09;3.842;0
28-10-2024 21:24;3.846;0
28-10-2024 21:39;3.841;0
28-10-2024 21:54;3.840;0
28-10-2024 22:09;3.839;0
28-10-2024 22:24;3.841;0
28-10-2024 22:39;3.843;0
28-10-2024 22:54;3.844;0
28-10-2024 23:09;3.842;0
28-10-2024 23:24;3.839;0
28-10-2024 23:39;3.842;0
28-10-2024 23:54;3.845;0
29-10-2024 00:09;3.843;0
29-10-2024 00:24;3.841;0
29-10-2024 00:39;3.838;0
29-10-2024 00:54;3.838;0
29-10-2024 01:09;3.843;0
29-10-2024 01:24;3.845;0
29-10-2024 01:39;3.842;0
29-10-2024 01:54;3.843;0
29-10-2024 02:09;3.839;0
29-10-2024 02:24;3.839;0
29-10-2024 02:39;3.842;0
29-10-2024 02:54;3.843;0
29-10-2024 03:09;3.843;0
29-10-2024 03:24;3.841;0
29-10-2024 03:39;3.838;0
29-10-2024 03:54;3.841;0
29-10-2024 04:09;3.842;0
29-10-2024 04:24;3.842;0
29-10-2024 04:39;3.841;0
29-10-2024 04:54;3.841;0
29-10-2024 05:09;3.842;0
29-10-2024 05:24;3.842;0
29-10-2024 05:39;3.841;0
29-10-2024 05:54;3.840;0
29-10-2024 06:09;3.841;0
29-10-2024 06:24;3.841;0
29-10-2024 06:39;3.844;0
29-10-2024 06:54;3.842;0
29-10-2024 07:09;3.841;0
29-10-2024 07:24;3.842;0
29-10-2024 07:39;3.841;0
29-10-2024 07:54;3.842;0
29-10-2024 08:09;3.844;0
29-10-2024 08:24;3.843;0
29-10-2024 08:39;3.839;0
29-10-2024 08:54;3.839;0
29-10-2024 09:09;3.841;0
29-10-2024 09:24;3.842;0
29-10-2024 09:39;3.842;0
29-10-2024 09:54;3.840;0
29-10-2024 10:09;3.839;0
29-10-2024 10:24;3.839;0
