Stedtype,StedID,Stedtekst,GeoZone,x-koordinat,y-koordinat,Kommune,Region,Medie,Vandområde,Dato,Måling nr,Undersøgelsestype,Teknisk anvisning,Dataejer,Link,Målested navn,Målested GeoZone,"Målested, x-koordinat","Målested, y-koordinat",Dybdemåling nr,Startdato,Bunddybde (m),Sigtdybde (m),Springlag,Springlag startdybde (m),Springlag slutdybde (m),Sigt til bund,Højdereference,Referencekote (m),Målt vandstand (m),Vandstandskote (m),Kvalitetsmærke
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,7/4/16,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/ab140ebf-1bfe-4f40-8825-1346e614f21d,Aktivitetssted,32,693898,6209574,1,07-04-2016 10:00:00 +02:00,"4,5","0,7",,,,Nej,,,,,3
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,6/4/10,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/e779676d-290b-4c58-8f42-7593c2ee701d,Aktivitetssted,32,693898,6209574,1,06-04-2010 13:00:00 +02:00,"4,6","0,5",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,12/9/07,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/71c0d296-20c0-4cd0-a442-74bec7ebb048,Aktivitetssted,32,693898,6209574,1,12-09-2007 12:00:00 +02:00,"4,5","0,6",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,6/5/98,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/22e7cd28-2541-45a5-8e86-300518bb9e2e,Aktivitetssted,32,693898,6209574,1,06-05-1998 10:30:00 +02:00,"4,8","0,5",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,24-08-1993,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/de27ec95-c989-417a-8500-73859f307d79,Aktivitetssted,32,693898,6209574,1,24-08-1993 10:15:00 +02:00,"4,1","0,2",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,13-04-1999,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/b25ed505-25dd-497e-88dc-d2ef2dea7a9c,Aktivitetssted,32,693898,6209574,1,13-04-1999 10:50:00 +02:00,5,"0,4",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,5/9/13,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/d95be3b6-a3a0-4343-93d6-efe447479c42,Aktivitetssted,32,693898,6209574,1,05-09-2013 13:41:00 +02:00,"4,5","0,6",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,8/6/04,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/b189d559-5e41-42d6-8f36-e63aa8050295,Aktivitetssted,32,693898,6209574,1,08-06-2004 11:30:00 +02:00,"4,6","0,44",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,14-11-2000,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/29679ada-be9f-4950-bf1a-17611d679f27,Aktivitetssted,32,693898,6209574,1,14-11-2000 10:05:00 +01:00,5,"0,5",,,,Nej,,,,,2
Station,49000042,"ARRESØ, kemi",32,693898,6209574,Halsnæs,Region Hovedstaden,Sø,Arresø,29-09-1992,1,"Måledybder, Sø",Ja,Miljøstyrelsen,https://vanda.miljoeportal.dk/link/7fa22325-7241-4ead-97fc-48e1a5f66a8a,Aktivitetssted,32,693898,6209574,1,29-09-1992 10:20:00 +01:00,"4,2","0,4",,,,Nej,,,,,2
