year,discharge,tn_load,tp_load,data_type,TN_t_y1,TP_t_y1
1979,122676685.15068483,230.54670332596584,50.62981294408238,NA,NA,NA
1988,140501980.3278686,189.6143562648777,30.34923742324863,NA,NA,NA
1989,68915007.12328768,93.21600399012073,14.342571592496599,measured,359.2,27.1
1990,89023482.73972599,116.61453074524927,18.22933856061369,measured,425.2,27.8
1991,139379059.72602734,167.63806452900815,24.57103488263013,measured,564,23.6
1992,117068931.14754093,163.96543867794327,20.019463502646744,measured,468,11.6
1993,95598167.67123286,133.22973767316165,17.30395119254794,measured,426,10.9
1994,176964480,273.5677463904,31.3407886176,measured,516,11.2
1995,156494255.86849326,164.98429281258169,18.35890006398962,measured,374,8.5
1996,31495185.44262299,21.633918142946087,2.1468254596955902,measured,173,6.5
1997,46596585.20547945,44.61212401017534,3.840898272756165,measured,176,6.1
1998,168050367.12328786,194.53720561150706,14.481488311298646,measured,485,10.5
1999,140076949.4505493,127.82429361340489,9.682604012596851,measured,261,10
2000,134176839.34426214,134.67101809024592,11.173164260373312,measured,311,8.9
2001,87820037.260274,69.91139889057067,5.485703718902233,measured,271,6.7
2002,176034200.54794532,143.36223616108475,16.116340968374242,measured,401,12.5
2003,92739866.30136995,83.40110020259345,8.294394776802504,measured,246,8.1
2004,111386701.06229514,100.14149677973053,8.008457865062274,predicted,365.91159203298,NA
2004,111386701.06229514,100.14149677973053,8.008457865062274,measured,NA,10
2005,105149746.84931484,106.147968446071,6.929974180196933,predicted,256.26444775927604,8.638710228988165
2006,118264253.4838357,110.52791904878237,6.440977413162926,predicted,326.67882937433507,7.779853446833885
2007,285568572.940274,265.4146579686034,14.675731147932218,predicted,373.8409521640126,11.834526012364176
2008,116179240.13114764,120.42217275432462,6.22091026098552,predicted,248.1347542167448,8.869277405463727
2009,112927279.3249315,103.4309824194709,5.0783316850079325,predicted,213.97357776191905,7.52883235079973
2010,155380552.29369864,115.99160576601112,5.653403010023525,predicted,324.148055225702,10.08885139087625
2011,158766748.66849306,121.24938203849236,7.534850642487093,predicted,369.8333570619552,12.578503636374814
2012,124556767.55409832,94.74210409709785,5.020841665042561,predicted,235.32120497248766,7.752948561617255
2013,77020193.49041095,65.60984814879848,2.443397176089074,predicted,206.70484989937523,6.842268493293347
2014,71070820.1556164,56.375624900513586,3.21048217164974,predicted,246.10877794509818,6.831632168329457
2015,132930063.12328772,115.11629371190091,6.438076761920201,predicted,330.8045767990721,9.267247974218066
2016,115872594.01643842,68.03532467898064,3.48606093299018,predicted,214.81915236681118,6.682342520410726
2017,101179437.07252751,77.74555897707484,3.8049224315379653,predicted,222.15652355288557,8.015741617184247
2018,82263979.7802198,68.461797806011,2.732802552967253,predicted,235.29428132037526,8.029819997802774
2019,102351666.51616438,116.04939004602265,5.493674524421865,predicted,325.59869022091874,11.238563219057689
2020,95284441.88852453,81.51832628268203,4.409332131617357,predicted,216.3535692667946,7.178162099081562
2021,114559839.04438356,91.69276270731842,3.9127746514215245,predicted,211.09527254922415,6.745733895206637
