﻿Stedtype;StedID;Stedtekst;Referencer;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Prøvetagning;Prøve;Prøvetype;Delprøve;Analysefraktion;CASnr;ScKode;Stofparameter;Resultat-attribut;Resultat;Enhed;Detektionsgrænse LD;Kvantifikationsgrænse LQ;Kvalitetsmærke
Station;49000295;Ramløse å, S. f. Kalvehave;FRB6400;32;692058;6212859;Gribskov;Region Hovedstaden;Vandløb;Poel Å;23-04-2015;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ba84818a-1df9-4222-b410-2196e98dd72f;FRB6400;32;692058;6212859;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;0,33;mg/l;9999999;;3
Station;49000295;Ramløse å, S. f. Kalvehave;FRB6400;32;692058;6212859;Gribskov;Region Hovedstaden;Vandløb;Poel Å;23-04-2015;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/ba84818a-1df9-4222-b410-2196e98dd72f;FRB6400;32;692058;6212859;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;1,8472096;mg/l;9999999;;3
Station;49000295;Ramløse å, S. f. Kalvehave;FRB6400;32;692058;6212859;Gribskov;Region Hovedstaden;Vandløb;Poel Å;25-03-2015;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b70bc761-099c-43f3-bcff-67d8bd336ddb;FRB6400;32;692058;6212859;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;1,563942;mg/l;9999999;;3
Station;49000295;Ramløse å, S. f. Kalvehave;FRB6400;32;692058;6212859;Gribskov;Region Hovedstaden;Vandløb;Poel Å;25-03-2015;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/b70bc761-099c-43f3-bcff-67d8bd336ddb;FRB6400;32;692058;6212859;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;0,24;mg/l;9999999;;3
Station;49000295;Ramløse å, S. f. Kalvehave;FRB6400;32;692058;6212859;Gribskov;Region Hovedstaden;Vandløb;Poel Å;15-01-2015;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0d737cf7-ae21-4608-afea-47b87491f187;FRB6400;32;692058;6212859;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;3,893589;mg/l;9999999;;3
Station;49000295;Ramløse å, S. f. Kalvehave;FRB6400;32;692058;6212859;Gribskov;Region Hovedstaden;Vandløb;Poel Å;15-01-2015;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/0d737cf7-ae21-4608-afea-47b87491f187;FRB6400;32;692058;6212859;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;0,19;mg/l;9999999;;3
Station;49000295;Ramløse å, S. f. Kalvehave;FRB6400;32;692058;6212859;Gribskov;Region Hovedstaden;Vandløb;Poel Å;08-12-2015;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f0ab7321-8b22-44f3-b3e5-356de00fa29c;FRB6400;32;692058;6212859;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;2,4;mg/l;9999999;;3
Station;49000295;Ramløse å, S. f. Kalvehave;FRB6400;32;692058;6212859;Gribskov;Region Hovedstaden;Vandløb;Poel Å;08-12-2015;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f0ab7321-8b22-44f3-b3e5-356de00fa29c;FRB6400;32;692058;6212859;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;0,12;mg/l;9999999;;3
Station;49000295;Ramløse å, S. f. Kalvehave;FRB6400;32;692058;6212859;Gribskov;Region Hovedstaden;Vandløb;Poel Å;16-11-2015;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4fd4059a-8139-4fc2-99a4-e8e8ec164688;FRB6400;32;692058;6212859;1;1;Enkeltprøve;1;Total;;261;Phosphor, total-P; =;0,18;mg/l;9999999;;3
Station;49000295;Ramløse å, S. f. Kalvehave;FRB6400;32;692058;6212859;Gribskov;Region Hovedstaden;Vandløb;Poel Å;16-11-2015;1;Vandkemi, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4fd4059a-8139-4fc2-99a4-e8e8ec164688;FRB6400;32;692058;6212859;1;1;Enkeltprøve;1;Total;;253;Nitrogen,total N; =;2,5;mg/l;9999999;;3
