﻿Stedtype;StedID;Stedtekst;GeoZone;x-koordinat;y-koordinat;Kommune;Region;Medie;Vandområde;Dato;Måling nr;Undersøgelsestype;Teknisk anvisning;Dataejer;Link;Målested navn;Målested GeoZone;Målested, x-koordinat;Målested, y-koordinat;Feltmåling nr;Startdato;Dybde;Parameter;Resultat-attribut;Resultat;Enhed;Kvalitetsmærke
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;01-02-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/78e7cd55-c40b-4e94-8dca-ede2d498424a;FRB1348;32;700057;6208333;1;01-02-2001 11:00:00 +01:00;;Oxygen indhold; =;11,39;mg/l;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;01-02-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/78e7cd55-c40b-4e94-8dca-ede2d498424a;FRB1348;32;700057;6208333;1;01-02-2001 11:00:00 +01:00;;Temperatur; =;2,4;grader C;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;13-03-2007;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/85ec1068-d540-4210-b421-ebdfa1b1cefe;FRB1348;32;700057;6208333;1;13-03-2007 08:40:00 +01:00;;Temperatur; =;7,2;grader C;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;18-01-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/9223e4fa-7357-47ec-8753-c2bbc62d33d2;FRB1348;32;700057;6208333;1;18-01-2001 10:45:00 +01:00;;Oxygen indhold; =;10,41;mg/l;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;26-11-2013;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/2dbc3e2e-d2c7-451a-8b8c-7ecb299397f6;FRB1348;32;700057;6208333;1;26-11-2013 09:30:00 +01:00;;Temperatur; =;1,5;grader C;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;19-07-2011;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/efabce75-1b08-4865-9462-7cd6efc38311;FRB1348;32;700057;6208333;1;19-07-2011 10:00:00 +02:00;;Temperatur; =;21;grader C;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;04-01-2001;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/4b4e7754-77c4-4a99-ab97-a666dd922179;FRB1348;32;700057;6208333;1;04-01-2001 11:25:00 +01:00;;Oxygen indhold; =;9,8;mg/l;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;03-05-2011;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/6f5d0c99-2229-4269-8956-a8b3c93830e3;FRB1348;32;700057;6208333;1;03-05-2011 08:55:00 +02:00;;pH; =;8;pH;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;13-04-2005;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/f59d22ab-53cd-49aa-9651-ea8b6d9afae9;FRB1348;32;700057;6208333;1;13-04-2005 09:50:00 +02:00;;Temperatur; =;10,4;grader C;3
Station;49000094;PØLE Å, Ns Alsønderup Enge;32;700057;6208333;Gribskov;Region Hovedstaden;Vandløb;Poel Å;21-08-2007;1;Feltmålinger, Vandløb;Ja;Miljøstyrelsen;https://vanda.miljoeportal.dk/link/2bbfb2e6-3774-40c7-815a-5352f53f6777;FRB1348;32;700057;6208333;1;21-08-2007 08:45:00 +02:00;;Temperatur; =;18,6;grader C;3
